created_at,username,text
2024-12-09 19:21:14+00:00,,"RT @LawrenceNg119: 𝗣𝗮𝗶𝗱 𝗖𝗼𝘂𝗿𝘀𝗲𝘀 𝗙𝗥𝗘𝗘 (All-in-One Access )

Grab 200+ FREE Courses NOW 🌟

🎓 Topics include:

🎯 Python
🎯 Artificial Intellige…"
2024-12-09 19:21:04+00:00,,"RT @TheStingisBack: Spies Like Us (1985)
The Doctor scene contains a very strange collection of cameos, special effects designer Derek Medd…"
2024-12-09 19:21:04+00:00,,¿PYTHON? Utiliza JAVASCRIPT para desarrollar IA https://t.co/ojf7BT7pLY via @YouTube
2024-12-09 19:20:53+00:00,,"🌟 Web3 opens the door to something extraordinary! 🌠  

https://t.co/QrQHPsHeD8

@nolsenan @folatope77 @aNewYorker101 @aleax2341843 @Ben7641Ben @HGhadri60233 @inhuman912026 @effelb @AmyCunn21077200 @crypto_python
NceId"
2024-12-09 19:20:48+00:00,,@khykhanwsh @tangerine_fash @Pendar_1842 @_S_python لطفا شما هم یاد بگیر که نظر شخصی خودت رو به عنوان یه واقعیت یا فکت علمی به نصف جمعیت جهان قالب نکنی!
2024-12-09 19:20:42+00:00,,"Carseat by @0xthirteen is a Python implementation of GhostPack's Seatbelt, a situational awareness tool for analyzing Windows security configurations.

https://t.co/deYuqX7PtZ

#infosec #pentest #redteam"
2024-12-09 19:20:36+00:00,,"@X30235507 @Anna4H @23_python @stclairashley Vlad, all your fellow Kremlin troll farm accounts tried this ridiculous propaganda at the beginning of the invasion. We have eyes and ears and can easily tell you’re lying. Try to keep up https://t.co/01Q9oPKYNy"
2024-12-09 19:20:27+00:00,,RT @clcoding: Colorful flowers in python https://t.co/DeLAlTKA5Y
2024-12-09 19:20:18+00:00,,I got myself a Raspberry Pi for my project in the village. It's time to run Ubuntu and have some fun. I got sensors in 2018 in Wales and have kept them safe all these years. Hopefully I will solve what I want to solve at the farm #Python #django @ubuntu https://t.co/4EaFi6vKiE
2024-12-09 19:20:11+00:00,,"RT @GitHubGPT: 📛 phidata
🧠 Phidata is a system for creating smart agents with memory and reasoning abilities, allowing users to manage agen…"
2024-12-09 19:20:08+00:00,,"@hirox246 なんだもう締切だったクソがっ😡
10年前にOracleJava認定取ってるオラです😜
ちなみにPythonも持ってるから畳み込みニューラルネットワーク組んだトコロまではオライリーのテキストでやった👍
手書き数字を認識するAIね😝
今は法勉やってるからまたの機会で🙄"
2024-12-09 19:20:04+00:00,,RT @Python_Dv: Python programming workbook for GUI Development with Tkinter and PyQt: A  Step-by-Step Guide to Building Graphical User Inte…
2024-12-09 19:20:02+00:00,,RT @AIatMeta: Introducing SPDL: Faster AI model training with thread-based data loading. This framework-agnostic data loading solution util…
2024-12-09 19:20:02+00:00,,"I'm an ethical hacker 🧑‍💻, 
DM for 
•phone hack 
•WhatsApp hack/spy 
•Facebook/Instagram spy
•Social media accounts recovery

#MoroccoVsFrance #FNSTLiella #temptation #舞いあがれ #TXT8_IS_COMING #Solana #NFT #crypto #Python#hacked https://t.co/ehsvGxilTi"
2024-12-09 19:19:55+00:00,,"RT @clcoding: Python Coding challenge - Day 259 | What is the output of the following Python Code?  

Solution with explanation: https://t.…"
2024-12-09 19:19:44+00:00,,"RT @AlrkhstN24172: س/ لغة يتم تحويلها إلى لغة الآلة مباشرة
أ) Java
ب) Assembly✅
ج) Python
د) لغة يتم تحويلها إلى لغة الآلة مباشرة

س/ يستخد…"
2024-12-09 19:19:36+00:00,,@khykhanwsh @_S_python @Pendar_1842 و جالب این که همیشه پشت همه این قوانین که حضور خانومارو کم رنگ میکنه آقایونی هستن که جای زن ها از علاقه شون حرف میزنن...
2024-12-09 19:19:33+00:00,,"RT @AlrkhstN24172: س/ لغة يتم تحويلها إلى لغة الآلة مباشرة
أ) Java
ب) Assembly✅
ج) Python
د) لغة يتم تحويلها إلى لغة الآلة مباشرة

س/ يستخد…"
2024-12-09 19:19:33+00:00,,"RT @BowTiedCyber: Your 2025 Cybersecurity Career Roadmap:

• Network+
• Security+
• Azure 900
• Splunk Core
• Linux
• Python
• Traffic Anal…"
2024-12-09 19:19:32+00:00,,"Data Engineer needed for a contract opportunity with an E&amp;P company in Houston, Texas. The Data Engineer will be responsible for designing, implementing, and maintaining data collection systems for real-time monitoring of drilling operations. #SQL #python https://t.co/QKXxB4smeT https://t.co/TVzU8ooF9w"
2024-12-09 19:19:22+00:00,,"RT @Python_Dv: Python Question / Quiz;

What is the output of the following Python code, and why? 🤔🚀 Comment your answers below! 👇

#python…"
2024-12-09 19:19:18+00:00,,"#Crypto, PUMP incoming! 🚀 We will have info ▶️https://t.co/WpCqePVdx3

@IulianTolan @MudgilShreshth @mrnuru299 @Ivory_Python @49ersVibe @ForzaVeve @MMilyardi @PLCU_Croatia @alphamale_247 @KeelyCr69494861
p2aYD"
2024-12-09 19:19:15+00:00,,"RT @realpython: 🐍📰 Modeling Polymorphism in Django With Python

In this article, you'll learn several modeling techniques to represent poly…"
2024-12-09 19:19:11+00:00,,RT @clcoding: Barcode using Python https://t.co/I22JqN5zeY
2024-12-09 19:19:06+00:00,,"RT @AlrkhstN24172: س/ لغة يتم تحويلها إلى لغة الآلة مباشرة
أ) Java
ب) Assembly✅
ج) Python
د) لغة يتم تحويلها إلى لغة الآلة مباشرة

س/ يستخد…"
2024-12-09 19:19:03+00:00,,"RT @Sumanth_077: Python toolkit for building RAG apps with PostgreSQL or SQLite.

100% Open Source https://t.co/Wt1uQKX1xq"
2024-12-09 19:18:51+00:00,,"RT @AlrkhstN24172: س/ لغة يتم تحويلها إلى لغة الآلة مباشرة
أ) Java
ب) Assembly✅
ج) Python
د) لغة يتم تحويلها إلى لغة الآلة مباشرة

س/ يستخد…"
2024-12-09 19:18:51+00:00,,@khykhanwsh @_S_python @Pendar_1842 قبلا به خانوما اجازه نمیدادن رای بدن ..آیا دلیلش این بود که زن ها خودشون علاقه ای به رای دادن نداشتن؟ تو ایران حجاب اجباریه..دلیلش اینه که زن ها علاقه مند به حجابن؟ سقط جنین تو آمریکا ممنوعه..دلیلش اینه که زن ها دوست ندارن رو بدنشون اختیار داشته باشن؟
2024-12-09 19:18:46+00:00,,"#Python Numbers: Key Points!

🔹 #int: Whole numbers (e.g., 10, -5)
🔹 float: Decimal numbers (e.g., 3.14, -0.5)
🔹 complex: #Numbers with real and imaginary parts (e.g., 2+3j)

💡 Use type() to check a number's type!

Follow for more post"
2024-12-09 19:18:45+00:00,,"RT @merishabh_singh: #hiring for Software Engineer Intern role

Mode: #remote
Duration: 3-6 Months
Skills: HTML, CSS, React, Javascript, Py…"
2024-12-09 19:18:42+00:00,,"#Crypto, PUMP incoming! 🚀 We will have info ▶️https://t.co/kyem561til

@HunLooks @Kerem75813033 @BLOCKY__BOY @Vanceff667115 @MselmiWassim @luin_aozora @patrick_fiedler @pole_python @itspiti @GeneCrucean
RcZ8g"
2024-12-09 19:18:19+00:00,,RT @Editorialz: What in the name of Jazuz is this supposed to be? Andy Warhol meets Monty Python? What a load of sh!te. There's not one bit…
2024-12-09 19:18:12+00:00,,"RT @Eyowhite3: Super dirty datasets for beginners to practice data cleaning using either Excel, Power Query, SQL, Python or R."
2024-12-09 19:18:00+00:00,,A Message from Python &amp; Selkan 🦊❗ https://t.co/XzGTVNVZOd
2024-12-09 19:17:54+00:00,,"RT @tut_ml: FREE ML Courses- https://t.co/ql2wGt2jPu

@KirkDBorne
@antgrasso
@ronald_vanloon
#MachineLearning #DeepLearning #BigData #Datas…"
2024-12-09 19:17:46+00:00,,"@SteakXLobster @cousin_vanko @fungibIes @pudgypenguins Thanks for the reminder, I have to fix that when I get home. Python packages updated and it’s deprecated now."
2024-12-09 19:17:40+00:00,,"RT @AlrkhstN24172: س/ لغة يتم تحويلها إلى لغة الآلة مباشرة
أ) Java
ب) Assembly✅
ج) Python
د) لغة يتم تحويلها إلى لغة الآلة مباشرة

س/ يستخد…"
2024-12-09 19:17:32+00:00,,"RT @AlrkhstN24172: س/ لغة يتم تحويلها إلى لغة الآلة مباشرة
أ) Java
ب) Assembly✅
ج) Python
د) لغة يتم تحويلها إلى لغة الآلة مباشرة

س/ يستخد…"
2024-12-09 19:17:32+00:00,,"@elcp72 @johan214 @Shirleyyych Il y a un niveau ""expert"" en python ?
J'ai l'impression de ne jamais avoir dû utiliser de notions complexes."
